,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
185,185,17739,1326382260,6.7,6.7,6.7,6.7,1.0,6.7,6.7
186,186,17742,1326382440,6.6,6.6,6.6,6.6,1.0,6.6,6.6
187,187,17886,1326391080,7.35,7.35,7.35,7.35,1.0829932,7.96000002,7.35
188,188,17901,1326391980,6.51,6.51,6.51,6.51,0.98,6.3798,6.51
189,189,18368,1326420000,6.8,6.8,6.8,6.8,1.0,6.8,6.8
190,190,18543,1326430500,6.7,6.7,6.7,6.7,1.0,6.7,6.7
191,191,18971,1326456180,6.7,6.7,6.7,6.7,1.03880597,6.959999999,6.7
192,192,19031,1326459780,6.7,6.7,6.7,6.7,0.84328358,5.649999986,6.7
193,193,19045,1326460620,6.7,6.7,6.7,6.7,0.11791045,0.790000015,6.7
194,194,19062,1326461640,6.99,6.99,6.99,6.99,2.11791045,14.804194045,6.99
195,195,19063,1326461700,6.99,6.99,6.82,6.82,1.46627566,10.002816456,6.821920822
196,196,19091,1326463380,7.0,7.0,7.0,7.0,1.51,10.57,7.0
197,197,19092,1326463440,7.0,7.25,6.86,7.25,5.57496732,40.036599949,7.1814950028
198,198,19093,1326463500,7.25,7.35,7.25,7.35,2.79976543,20.490000048,7.3184702647
199,199,19094,1326463560,7.35,7.35,6.86,6.86,1.45772595,10.578298867,7.2567130107
200,200,19095,1326463620,7.36,7.36,7.36,7.36,1.08152174,7.9600000064,7.36
201,201,19114,1326464760,7.0,7.0,6.9,6.9,1.45560408,10.143668152,6.9686999998
202,202,19116,1326464880,6.9,6.9,6.9,6.9,0.54439592,3.756331848,6.9
203,203,19119,1326465060,6.9,6.9,6.9,6.9,1.0,6.9,6.9
204,204,19279,1326474660,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
205,205,19280,1326474720,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
206,206,19281,1326474780,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
207,207,19283,1326474900,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
208,208,19284,1326474960,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
209,209,19285,1326475020,6.9,6.9,6.9,6.9,1.46627566,10.117302054,6.9
210,210,19291,1326475380,6.8,6.8,6.8,6.8,1.0,6.8,6.8
211,211,19292,1326475440,6.76,6.9,6.76,6.9,0.821,5.5977994084,6.8182696814
212,212,19440,1326484320,6.7,6.7,6.7,6.7,1.0,6.7,6.7
213,213,19453,1326485100,7.25,7.25,7.25,7.25,5.91,42.8475,7.25
214,214,19454,1326485160,7.25,7.25,7.25,7.25,1.48148148,10.74074073,7.25
215,215,19455,1326485220,7.25,7.25,7.25,7.25,1.48148148,10.74074073,7.25
216,216,19456,1326485280,7.25,7.25,7.25,7.25,1.47928994,10.724852065,7.25
217,217,19463,1326485700,7.34,7.34,7.34,7.34,0.95231608,6.9900000272,7.34
218,218,19480,1326486720,7.34,7.34,7.34,7.34,1.04768392,7.6899999728,7.34
